_id,date,hashtags,location,text,tweet_id,user
60da918c8624c308c41c61bb,20210517,#COVID19#BRASILIMUNIZADO#VIVAOSUS#GOVBR,,"@NICOLLASCARAIO @FERREIRAEAI @CORINTHIANS 💉🇧🇷 O @MINSAUDE JÁ DISTRIBUIU 84,3 MILHÕES DE DOSES DE VACINAS #COVID19 AOS ESTADOS.  🚚✈️ O TRANSPORTE RÁPIDO E OS ESFORÇOS DO SUS GARANTIRAM A APLICAÇÃO DE 51,5 MILHÕES DE DOSES DE IMUNIZANTES.  ▶️ SAIBA MAIS EM: HTTPS://T.CO/N4SPUYO1QZ",62999441431,EDUARDO_PATRIOT
60da918c8624c308c41c61bc,20210517,#COVID19#PATRIAVACINADA#VACINABRASIL,,"@NICOLLASCARAIO @FERREIRAEAI @CORINTHIANS 💉 A VACINAÇÃO CONTRA #COVID19 AVANÇA EM TODO O BRASIL.  🚚 JÁ SÃO MAIS DE 84,3 MILHÕES DE DOSES ENTREGUES A TODOS OS ESTADOS E AO DF, DESDE O INÍCIO DA CAMPANHA. ALÉM DISSO, MAIS DE 52 MILHÕES DE DOSES JÁ FORAM APLICADAS.  #PATRIAVACINADA",99990851431,EDUARDO_PATRIOT
60da918c8624c308c41c61bd,20210517,#COVID19#PATRIAVACINADA#VACINABRASIL,,"@BBCBRASIL 💉 A VACINAÇÃO CONTRA #COVID19 AVANÇA EM TODO O BRASIL.  🚚 JÁ SÃO MAIS DE 84,3 MILHÕES DE DOSES ENTREGUES A TODOS OS ESTADOS E AO DF, DESDE O INÍCIO DA CAMPANHA. ALÉM DISSO, MAIS DE 52 MILHÕES DE DOSES JÁ FORAM APLICADAS.  #PATRIAVACINADA #VACINABRASIL HTTPS://T.CO/OLHR",04993151431,EDUARDO_PATRIOT
60da918c8624c308c41c61be,20210517,#COVID19#PATRIAVACINADA#VACINABRASIL,,"@PRIMEVIDEOBR 💉 A VACINAÇÃO CONTRA #COVID19 AVANÇA EM TODO O BRASIL.  🚚 JÁ SÃO MAIS DE 84,3 MILHÕES DE DOSES ENTREGUES A TODOS OS ESTADOS E AO DF, DESDE O INÍCIO DA CAMPANHA. ALÉM DISSO, MAIS DE 52 MILHÕES DE DOSES JÁ FORAM APLICADAS.  #PATRIAVACINADA #VACINABRASIL HTTPS://T.CO/O",74994951431,EDUARDO_PATRIOT
60da918c8624c308c41c61bf,20210517,#COVID19#PATRIAVACINADA#VACINABRASIL,,"@ZEDELIVERY 💉 A VACINAÇÃO CONTRA #COVID19 AVANÇA EM TODO O BRASIL.  🚚 JÁ SÃO MAIS DE 84,3 MILHÕES DE DOSES ENTREGUES A TODOS OS ESTADOS E AO DF, DESDE O INÍCIO DA CAMPANHA. ALÉM DISSO, MAIS DE 52 MILHÕES DE DOSES JÁ FORAM APLICADAS.  #PATRIAVACINADA #VACINABRASIL HTTPS://T.CO/OLH",42997751431,EDUARDO_PATRIOT
60da918c8624c308c41c61c0,,,,"RT @CONTAGEMCORONA1: 🚨ALERTA  A VARIANTE P.1 DA #COVID19, CONHECIDA COMO ""CEPA BRASILEIRA,""  JÁ ESTÁ PRESENTE EM 36 PAÍSES, SENDO 16 DA AMÉ…;MULHERGORILA;20210517;BRASIL;#COVID19",58995371431,
60da918c8624c308c41c61c1,20210517,#COVID19,BRASIL,"RT @CONTAGEMCORONA1: 🔵PIAUÍ   A VEREADORA DIANA NERIS (PSB), DE BAIXA GRANDE DO RIBEIRO, MORREU POR COMPLICAÇÕES DA #COVID19 NESTE DOMINGO…",32990981431,MULHERGORILA
60da918c8624c308c41c61c2,20210517,#INDIA#COVID19,LISBOA (PT),"#INDIA 🇮🇳 “NÃO SABEMOS QUEM SERÁ O PRÓXIMO”, DIZ ARCEBISPO DE DEHLI SOBRE A AMEAÇA BRUTAL DO #COVID19 EM TODO O PAÍS HTTPS://T.CO/HPC6HWJUMN HTTPS://T.CO/0T88PB3QAX",17993281431,FUNDACAOAIS
60da918c8624c308c41c61c3,20210517,#COVIDー19#CORONAVAC,"GUARULHOS, BRASIL","O BOLSONARO É INCOMPETENTE, GENOCIDA E OUTRAS COISAS! GENOCIDA PRA MIM É UM PAÍS QUE ESCONDEU A EXISTÊNCIA DO #COVIDー19 POR MESSES E AGORA ESTÁ ATRAPALHANDO O ENVIO DE INSUMOS PARA CRIAÇÃO DO #CORONAVAC !",68996281431,POLITIC08550257
60da918c8624c308c41c61c4,20210517,#CORONAVIRUS#CFM#CLOROQUINA#CLOROQUINAPORI,"SÃO PAULO, BRASIL","HIDROXICLOROQUINA POR INALAÇÃO É “EXPERIMENTAL” E SÓ PODE EM PESQUISA, DIZ CFM  HTTPS://T.CO/WYBZFFCXT5 #CORONAVIRUS #CFM #CLOROQUINA #CLOROQUINAPORI",13996391431,GELADOG_
60da918c8624c308c41c61c5,20210517,#CORONAVIRUS#COVID19,RECIFE,ATUALIZAÇÃO DOS DADOS DO BRASIL. #CORONAVIRUS #COVID19 HTTPS://T.CO/WOQHT4MI6H,51098201432,DADOS_COVID
60da918c8624c308c41c61c6,20210517,#COVID19#CORONAVIRUS#VACINAS#DOSESAPLICADAS,"TUBARÃO, SANTA CATARINA",DOSES APLICADAS ATÉ O MOMENTO:   IÇARA: 11.874.  CRICIÚMA: 39.736.  MORRO DA FUMAÇA: 11.683.  TUBARÃO: 34.195.  LAGUNA: 14.168.   BRASIL: 52.654.980.  #COVID19 #CORONAVIRUS #VACINAS #DOSESAPLICADAS,10090911432,BOTDOCOVID
60da918c8624c308c41c61c7,20210517,#CORONAVIRUS#ECONOMIA#BURGO,"BELÉM, PARÁ ,BRASIL","RT @GELADOG_: PFIZER EVITA IMPOSTOS POR MEIO DE SOCIEDADE NA HOLANDA, DIZ REPORTAGEM  HTTPS://T.CO/0C4TROXDUO #CORONAVIRUS #ECONOMIA #BURGO…",91096311432,ELITEBRAZUCA
60da918c8624c308c41c61c8,,,,,,
60da918c8624c308c41c61c9,,,,,,
60da918c8624c308c41c61ca,,,,,,
60da918c8624c308c41c61cb,,,,,,
60da918c8624c308c41c61cc,,,,,,
60da918c8624c308c41c61cd,,,,,,
60da918c8624c308c41c61ce,,,,,,
60da918c8624c308c41c61cf,,,,,,
60da918c8624c308c41c61d0,,,,,,
60da918c8624c308c41c61d1,,,,,,
60da918c8624c308c41c61d2,,,,,,
60da918c8624c308c41c61d3,,,,,,
60da918c8624c308c41c61d4,,,,,,
60da918c8624c308c41c61d5,,,,,,
60da918c8624c308c41c61d6,,,,,,
60da918c8624c308c41c61d7,,,,,,
60da918c8624c308c41c61d8,,,,,,
60da918c8624c308c41c61d9,,,,,,
60da918c8624c308c41c61da,,,,,,
60da918c8624c308c41c61db,,,,,,
60da918c8624c308c41c61dc,,,,,,
60da918c8624c308c41c61dd,,,,,,
60da918c8624c308c41c61de,,,,,,
60da918c8624c308c41c61df,,,,,,
60da918c8624c308c41c61e0,,,,,,
60da918c8624c308c41c61e1,,,,,,
60da918c8624c308c41c61e2,,,,,,
60da918c8624c308c41c61e3,,,,,,
60da918c8624c308c41c61e4,,,,,,
60da918c8624c308c41c61e5,,,,,,
60da918c8624c308c41c61e6,,,,,,
60da918c8624c308c41c61e7,,,,,,
60da918c8624c308c41c61e8,,,,,,
60da918c8624c308c41c61e9,,,,,,
60da918c8624c308c41c61ea,,,,,,
60da918c8624c308c41c61eb,,,,,,
60da918c8624c308c41c61ec,,,,,,
60da918c8624c308c41c61ed,,,,,,
60da918c8624c308c41c61ee,,,,,,
60da918c8624c308c41c61ef,,,,,,
60da918c8624c308c41c61f0,,,,,,
60da918c8624c308c41c61f1,,,,,,
60da918c8624c308c41c61f2,,,,,,
60da918c8624c308c41c61f3,,,,,,
60da918c8624c308c41c61f4,,,,,,
60da918c8624c308c41c61f5,,,,,,
60da918c8624c308c41c61f6,,,,,,
60da918c8624c308c41c61f7,,,,,,
60da918c8624c308c41c61f8,,,,,,
60da918c8624c308c41c61f9,,,,,,
60da918c8624c308c41c61fa,,,,,,
60da918c8624c308c41c61fb,,,,,,
60da918c8624c308c41c61fc,,,,,,
60da918c8624c308c41c61fd,,,,,,
60da918c8624c308c41c61fe,,,,,,
60da918c8624c308c41c61ff,,,,,,
60da918c8624c308c41c6200,,,,,,
60da918c8624c308c41c6201,,,,,,
60da918c8624c308c41c6202,,,,,,
60da918c8624c308c41c6203,,,,,,
